hydriccriterion,cokey,cohydcritkey
1,17728533,3955766
3,17728533,3955767
4,17728533,3955768
2,17728535,3955739
2,17728537,3955758
2,17728538,3955748
2,17728539,3955753
2,17728541,3955789
2,17728542,3955738
2,17728543,3955760
2,17728544,3955757
2,17728546,3955763
1,17728547,3955751
4,17728547,3955752
2,17728549,3955744
2,17728551,3955750
2,17728552,3955764
4,17728552,3955765
2,17728553,3955769
2,17728554,3955775
2,17728555,3955770
2,17728556,3955773
2,17728559,3955785
2,17728560,3955793
2,17728561,3955783
2,17728562,3955782
2,17728565,3955772
2,17728566,3955776
2,17728567,3955740
2,17728569,3955790
2,17728570,3955791
2,17728572,3955743
2,17728574,3955747
2,17728576,3955756
2,17728578,3955745
2,17728579,3955787
2,17728580,3955777
2,17728581,3955788
2,17728583,3955754
2,17728584,3955759
2,17728585,3955771
2,17728587,3955784
2,17728590,3955762
2,17728591,3955774
2,17728593,3955761
2,17728594,3955755
2,17728595,3955736
2,17728596,3955786
2,17728598,3955792
1,17728600,3955778
3,17728600,3955779
2,17728601,3955781
2,17728602,3955780
2,17728608,3955795
2,17728610,3955794
2,17728611,3955733
2,17728612,3955742
2,17728614,3955746
2,17728615,3955741
2,17728616,3955749
2,17728617,3955734
2,17728618,3955735
2,17728619,3955737
