texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SL,No ,No ,Sandy loam,51720957,103307218
SCL,No ,Yes,Sandy clay loam,51720957,103307219
CL,No ,No ,Clay loam,51720957,103307220
LS,No ,Yes,Loamy sand,51720958,103307221
SL,No ,No ,Sandy loam,51720958,103307222
LS,No ,Yes,Loamy sand,51720959,103307223
SL,No ,No ,Sandy loam,51720959,103307224
LS,No ,Yes,Loamy sand,51720960,103307225
SL,No ,No ,Sandy loam,51720960,103307226
LS,No ,Yes,Loamy sand,51720961,103307227
SL,No ,No ,Sandy loam,51720961,103307228
SL,No ,No ,Sandy loam,51720962,103307229
FSL,No ,Yes,Fine sandy loam,51720962,103307230
SL,No ,Yes,Sandy loam,51720963,103307231
FSL,No ,No ,Fine sandy loam,51720963,103307232
SL,No ,No ,Sandy loam,51720964,103307233
SCL,No ,Yes,Sandy clay loam,51720964,103307234
CL,No ,No ,Clay loam,51720964,103307235
FSL,No ,No ,Fine sandy loam,51720882,103307025
SL,No ,Yes,Sandy loam,51720882,103307026
LS,No ,No ,Loamy sand,51720883,103307027
LFS,No ,No ,Loamy fine sand,51720883,103307028
SL,No ,Yes,Sandy loam,51720883,103307029
FSL,No ,No ,Fine sandy loam,51720883,103307030
SL,No ,No ,Sandy loam,51720884,103307031
SCL,No ,Yes,Sandy clay loam,51720884,103307032
COS,No ,No ,Coarse sand,51720885,103307033
S,No ,Yes,Sand,51720885,103307034
LS,No ,No ,Loamy sand,51720885,103307035
SL,No ,No ,Sandy loam,51720886,103307036
FSL,No ,No ,Fine sandy loam,51720886,103307037
L,No ,No ,Loam,51720886,103307038
SCL,No ,Yes,Sandy clay loam,51720886,103307039
CL,No ,No ,Clay loam,51720886,103307040
S,No ,No ,Sand,51720887,103307041
FS,No ,No ,Fine sand,51720887,103307042
LS,No ,Yes,Loamy sand,51720887,103307043
LFS,No ,No ,Loamy fine sand,51720887,103307044
FSL,No ,Yes,Fine sandy loam,51720888,103307045
SL,No ,No ,Sandy loam,51720888,103307046
FSL,No ,Yes,Fine sandy loam,51720889,103307047
SL,No ,No ,Sandy loam,51720889,103307048
L,No ,No ,Loam,51720889,103307049
LFS,No ,No ,Loamy fine sand,51720889,103307050
LS,No ,No ,Loamy sand,51720889,103307051
SIL,No ,No ,Silt loam,51720889,103307052
S,No ,No ,Sand,51721044,103307428
FS,No ,Yes,Fine sand,51721044,103307429
S,No ,Yes,Sand,51721045,103307430
FS,No ,No ,Fine sand,51721045,103307431
COS,No ,No ,Coarse sand,51721045,103307432
S,No ,Yes,Sand,51721046,103307433
FS,No ,No ,Fine sand,51721046,103307434
COS,No ,No ,Coarse sand,51721046,103307435
S,No ,Yes,Sand,51721047,103307436
S,No ,Yes,Sand,51721048,103307437
S,No ,No ,Sand,51721049,103307438
FS,No ,Yes,Fine sand,51721049,103307439
LS,No ,No ,Loamy sand,51721049,103307440
S,No ,No ,Sand,51721050,103307441
FS,No ,Yes,Fine sand,51721050,103307442
S,No ,No ,Sand,51721051,103307443
FS,No ,Yes,Fine sand,51721051,103307444
S,No ,No ,Sand,51721052,103307445
FS,No ,Yes,Fine sand,51721052,103307446
MK-FS,No ,Yes,Mucky fine sand,51721053,103307447
MK-LS,No ,No ,Mucky loamy sand,51721053,103307448
MK-LFS,No ,No ,Mucky loamy fine sand,51721053,103307449
LS,No ,No ,Loamy sand,51721054,103307450
FS,No ,No ,Fine sand,51721054,103307451
S,No ,Yes,Sand,51721054,103307452
LFS,No ,No ,Loamy fine sand,51721054,103307453
L,No ,No ,Loam,51721055,103307454
LS,No ,No ,Loamy sand,51721055,103307455
S,No ,Yes,Sand,51721055,103307456
MPT,No ,No ,Mucky peat,51720929,103307144
MUCK,No ,Yes,Muck,51720929,103307145
S,No ,No ,Sand,51720912,103307104
FS,No ,Yes,Fine sand,51720912,103307105
S,No ,No ,Sand,51720913,103307106
FS,No ,Yes,Fine sand,51720913,103307107
FS,No ,Yes,Fine sand,51720914,103307108
S,No ,No ,Sand,51720915,103307109
FS,No ,Yes,Fine sand,51720915,103307110
S,No ,No ,Sand,51720916,103307111
FS,No ,Yes,Fine sand,51720916,103307112
LS,No ,No ,Loamy sand,51720916,103307113
MK-LFS,No ,No ,Mucky loamy fine sand,51720917,103307114
MK-FS,No ,Yes,Mucky fine sand,51720917,103307115
MK-LS,No ,No ,Mucky loamy sand,51720917,103307116
LS,No ,No ,Loamy sand,51720918,103307117
FS,No ,No ,Fine sand,51720918,103307118
S,No ,Yes,Sand,51720918,103307119
LFS,No ,No ,Loamy fine sand,51720918,103307120
L,No ,No ,Loam,51720919,103307121
LS,No ,No ,Loamy sand,51720919,103307122
S,No ,Yes,Sand,51720919,103307123
FSL,No ,Yes,Fine sandy loam,51720947,103307184
SL,No ,No ,Sandy loam,51720947,103307185
FSL,No ,Yes,Fine sandy loam,51720948,103307186
SL,No ,No ,Sandy loam,51720948,103307187
LFS,No ,No ,Loamy fine sand,51720948,103307188
LS,No ,No ,Loamy sand,51720948,103307189
SL,No ,No ,Sandy loam,51720949,103307190
FSL,No ,No ,Fine sandy loam,51720949,103307191
L,No ,No ,Loam,51720949,103307192
SCL,No ,Yes,Sandy clay loam,51720949,103307193
CL,No ,No ,Clay loam,51720949,103307194
S,No ,No ,Sand,51720950,103307195
FS,No ,No ,Fine sand,51720950,103307196
LS,No ,Yes,Loamy sand,51720950,103307197
LFS,No ,No ,Loamy fine sand,51720950,103307198
SL,No ,No ,Sandy loam,51720951,103307199
FSL,No ,Yes,Fine sandy loam,51720951,103307200
LS,No ,No ,Loamy sand,51720952,103307201
LFS,No ,No ,Loamy fine sand,51720952,103307202
SL,No ,No ,Sandy loam,51720952,103307203
FSL,No ,Yes,Fine sandy loam,51720952,103307204
SL,No ,No ,Sandy loam,51720953,103307205
FSL,No ,No ,Fine sandy loam,51720953,103307206
L,No ,No ,Loam,51720953,103307207
SCL,No ,Yes,Sandy clay loam,51720953,103307208
CL,No ,No ,Clay loam,51720953,103307209
S,No ,No ,Sand,51720954,103307210
FS,No ,No ,Fine sand,51720954,103307211
LS,No ,Yes,Loamy sand,51720954,103307212
LFS,No ,No ,Loamy fine sand,51720954,103307213
FSL,No ,Yes,Fine sandy loam,51721130,103307664
SL,No ,No ,Sandy loam,51721130,103307665
LS,No ,No ,Loamy sand,51721131,103307666
LFS,No ,No ,Loamy fine sand,51721131,103307667
SL,No ,Yes,Sandy loam,51721131,103307668
FSL,No ,No ,Fine sandy loam,51721131,103307669
LS,No ,No ,Loamy sand,51721132,103307670
SL,No ,No ,Sandy loam,51721132,103307671
FSL,No ,Yes,Fine sandy loam,51721132,103307672
LFS,No ,No ,Loamy fine sand,51721132,103307673
SCL,No ,Yes,Sandy clay loam,51721133,103307674
CL,No ,No ,Clay loam,51721133,103307675
L,No ,No ,Loam,51721133,103307676
SL,No ,No ,Sandy loam,51721133,103307677
FSL,No ,No ,Fine sandy loam,51721133,103307678
SCL,No ,Yes,Sandy clay loam,51721134,103307679
SL,No ,No ,Sandy loam,51721134,103307680
L,No ,No ,Loam,51721134,103307681
CL,No ,No ,Clay loam,51721134,103307682
C,No ,No ,Clay,51721134,103307683
FSL,No ,No ,Fine sandy loam,51721134,103307684
SC,No ,No ,Sandy clay,51721134,103307685
SCL,No ,Yes,Sandy clay loam,51721135,103307686
SC,No ,No ,Sandy clay,51721135,103307687
FSL,No ,No ,Fine sandy loam,51721135,103307688
L,No ,No ,Loam,51721135,103307689
SL,No ,No ,Sandy loam,51721136,103307690
FSL,No ,No ,Fine sandy loam,51721136,103307691
SCL,No ,Yes,Sandy clay loam,51721136,103307692
SC,No ,No ,Sandy clay,51721136,103307693
FSL,No ,Yes,Fine sandy loam,51721137,103307694
LS,No ,No ,Loamy sand,51721138,103307695
FSL,No ,Yes,Fine sandy loam,51721138,103307696
L,No ,No ,Loam,51721138,103307697
SCL,No ,Yes,Sandy clay loam,51721139,103307698
CL,No ,No ,Clay loam,51721139,103307699
FSL,No ,Yes,Fine sandy loam,51721140,103307700
SCL,No ,Yes,Sandy clay loam,51721141,103307701
CL,No ,No ,Clay loam,51721141,103307702
L,No ,No ,Loam,51721141,103307703
SL,No ,No ,Sandy loam,51721141,103307704
SCL,No ,Yes,Sandy clay loam,51721142,103307705
SL,No ,No ,Sandy loam,51721142,103307706
CL,No ,No ,Clay loam,51721142,103307707
L,No ,No ,Loam,51721142,103307708
SCL,No ,Yes,Sandy clay loam,51721143,103307709
SL,No ,No ,Sandy loam,51721143,103307710
CL,No ,No ,Clay loam,51721143,103307711
L,No ,No ,Loam,51721143,103307712
SL,No ,No ,Sandy loam,51721144,103307713
FSL,No ,Yes,Fine sandy loam,51721144,103307714
FSL,No ,Yes,Fine sandy loam,51721145,103307715
LS,No ,No ,Loamy sand,51721146,103307716
FSL,No ,Yes,Fine sandy loam,51721146,103307717
L,No ,No ,Loam,51721146,103307718
SCL,No ,Yes,Sandy clay loam,51721147,103307719
CL,No ,No ,Clay loam,51721147,103307720
SCL,No ,Yes,Sandy clay loam,51721148,103307721
SC,No ,No ,Sandy clay,51721148,103307722
FSL,No ,No ,Fine sandy loam,51721148,103307723
L,No ,No ,Loam,51721148,103307724
SL,No ,No ,Sandy loam,51721149,103307725
SCL,No ,Yes,Sandy clay loam,51721149,103307726
SC,No ,No ,Sandy clay,51721149,103307727
FSL,No ,No ,Fine sandy loam,51721149,103307728
S,No ,Yes,Sand,51721073,103307498
FS,No ,No ,Fine sand,51721073,103307499
S,No ,Yes,Sand,51721074,103307500
FS,No ,No ,Fine sand,51721074,103307501
FS,No ,No ,Fine sand,51721075,103307502
S,No ,Yes,Sand,51721075,103307503
LFS,No ,No ,Loamy fine sand,51721075,103307504
FS,No ,No ,Fine sand,51721076,103307505
S,No ,Yes,Sand,51721076,103307506
FS,No ,No ,Fine sand,51721077,103307507
S,No ,Yes,Sand,51721077,103307508
LFS,No ,No ,Loamy fine sand,51721077,103307509
MK-FS,No ,Yes,Mucky fine sand,51721078,103307510
MK-LS,No ,No ,Mucky loamy sand,51721078,103307511
MK-LFS,No ,No ,Mucky loamy fine sand,51721078,103307512
LS,No ,No ,Loamy sand,51721079,103307513
FS,No ,No ,Fine sand,51721079,103307514
S,No ,Yes,Sand,51721079,103307515
LFS,No ,No ,Loamy fine sand,51721079,103307516
L,No ,No ,Loam,51721080,103307517
LS,No ,No ,Loamy sand,51721080,103307518
S,No ,Yes,Sand,51721080,103307519
S,No ,Yes,Sand,51721081,103307520
S,No ,Yes,Sand,51721082,103307521
S,No ,No ,Sand,51721083,103307522
FS,No ,Yes,Fine sand,51721083,103307523
LS,No ,No ,Loamy sand,51721083,103307524
S,No ,No ,Sand,51721084,103307525
FS,No ,Yes,Fine sand,51721084,103307526
S,No ,No ,Sand,51721085,103307527
FS,No ,Yes,Fine sand,51721085,103307528
S,No ,No ,Sand,51721086,103307529
FS,No ,Yes,Fine sand,51721086,103307530
L,No ,Yes,Loam,51721056,103307457
SL,No ,Yes,Sandy loam,51721057,103307458
LS,No ,No ,Loamy sand,51721057,103307459
MK-FS,No ,Yes,Mucky fine sand,51721095,103307553
MK-LS,No ,No ,Mucky loamy sand,51721095,103307554
MK-LFS,No ,No ,Mucky loamy fine sand,51721095,103307555
LS,No ,No ,Loamy sand,51721096,103307556
FS,No ,No ,Fine sand,51721096,103307557
S,No ,Yes,Sand,51721096,103307558
LFS,No ,No ,Loamy fine sand,51721096,103307559
L,No ,No ,Loam,51721097,103307560
LS,No ,No ,Loamy sand,51721097,103307561
S,No ,Yes,Sand,51721097,103307562
S,No ,No ,Sand,51721027,103307384
FS,No ,Yes,Fine sand,51721027,103307385
S,No ,No ,Sand,51721028,103307386
FS,No ,Yes,Fine sand,51721028,103307387
FS,No ,No ,Fine sand,51721029,103307388
S,No ,Yes,Sand,51721029,103307389
S,No ,Yes,Sand,51721030,103307390
S,No ,No ,Sand,51720930,103307146
FS,No ,Yes,Fine sand,51720930,103307147
S,No ,No ,Sand,51720931,103307148
FS,No ,Yes,Fine sand,51720931,103307149
FSL,No ,Yes,Fine sandy loam,51720920,103307124
SL,No ,No ,Sandy loam,51720920,103307125
FSL,No ,Yes,Fine sandy loam,51720921,103307126
SL,No ,No ,Sandy loam,51720921,103307127
SL,No ,No ,Sandy loam,51720922,103307128
FSL,No ,Yes,Fine sandy loam,51720922,103307129
SL,No ,Yes,Sandy loam,51720923,103307130
LS,No ,No ,Loamy sand,51720923,103307131
LFS,No ,No ,Loamy fine sand,51720923,103307132
LFS,No ,Yes,Loamy fine sand,51720924,103307133
LS,No ,No ,Loamy sand,51720924,103307134
SL,No ,No ,Sandy loam,51720925,103307135
SCL,No ,Yes,Sandy clay loam,51720925,103307136
CL,No ,No ,Clay loam,51720925,103307137
SCL,No ,Yes,Sandy clay loam,51720926,103307138
CL,No ,No ,Clay loam,51720926,103307139
SC,No ,No ,Sandy clay,51720926,103307140
SL,No ,Yes,Sandy loam,51720927,103307141
LS,No ,No ,Loamy sand,51720927,103307142
L,No ,Yes,Loam,51720928,103307143
SCL,No ,Yes,Sandy clay loam,51720986,103307278
CL,No ,No ,Clay loam,51720986,103307279
SC,No ,No ,Sandy clay,51720986,103307280
SL,No ,No ,Sandy loam,51720987,103307281
FSL,No ,No ,Fine sandy loam,51720987,103307282
SCL,No ,Yes,Sandy clay loam,51720987,103307283
SC,No ,No ,Sandy clay,51720987,103307284
FSL,No ,Yes,Fine sandy loam,51720988,103307285
SL,No ,No ,Sandy loam,51720988,103307286
VFSL,No ,No ,Very fine sandy loam,51720988,103307287
FSL,No ,Yes,Fine sandy loam,51720989,103307288
L,No ,No ,Loam,51720989,103307289
LS,No ,No ,Loamy sand,51720989,103307290
S,No ,No ,Sand,51720989,103307291
SCL,No ,No ,Sandy clay loam,51720990,103307292
CL,No ,No ,Clay loam,51720990,103307293
SL,No ,Yes,Sandy loam,51720990,103307294
L,No ,No ,Loam,51720990,103307295
LS,No ,No ,Loamy sand,51720991,103307296
LFS,No ,Yes,Loamy fine sand,51720991,103307297
LS,No ,Yes,Loamy sand,51720992,103307298
LFS,No ,No ,Loamy fine sand,51720992,103307299
SL,No ,Yes,Sandy loam,51720993,103307300
FSL,No ,No ,Fine sandy loam,51720993,103307301
SL,No ,Yes,Sandy loam,51720994,103307302
LS,No ,No ,Loamy sand,51720994,103307303
LFS,No ,No ,Loamy fine sand,51720994,103307304
FSL,No ,Yes,Fine sandy loam,51720995,103307305
SL,No ,No ,Sandy loam,51720995,103307306
LFS,No ,No ,Loamy fine sand,51720996,103307307
LS,No ,No ,Loamy sand,51720996,103307308
SL,No ,No ,Sandy loam,51720996,103307309
FSL,No ,Yes,Fine sandy loam,51720996,103307310
SCL,No ,Yes,Sandy clay loam,51720997,103307311
SL,No ,No ,Sandy loam,51720997,103307312
CL,No ,No ,Clay loam,51720997,103307313
FSL,No ,No ,Fine sandy loam,51720997,103307314
SCL,No ,Yes,Sandy clay loam,51720998,103307315
SL,No ,No ,Sandy loam,51720998,103307316
CL,No ,No ,Clay loam,51720998,103307317
LFS,No ,No ,Loamy fine sand,51721064,103307472
FS,No ,Yes,Fine sand,51721064,103307473
S,No ,No ,Sand,51721065,103307474
LS,No ,Yes,Loamy sand,51721065,103307475
LFS,No ,No ,Loamy fine sand,51721065,103307476
LFS,No ,No ,Loamy fine sand,51721066,103307477
FS,No ,Yes,Fine sand,51721066,103307478
LS,No ,No ,Loamy sand,51721066,103307479
MK-FS,No ,Yes,Mucky fine sand,51721067,103307480
MK-LS,No ,No ,Mucky loamy sand,51721067,103307481
MK-LFS,No ,No ,Mucky loamy fine sand,51721067,103307482
LS,No ,No ,Loamy sand,51721068,103307483
FS,No ,No ,Fine sand,51721068,103307484
S,No ,Yes,Sand,51721068,103307485
LFS,No ,No ,Loamy fine sand,51721068,103307486
L,No ,No ,Loam,51721069,103307487
LS,No ,No ,Loamy sand,51721069,103307488
S,No ,Yes,Sand,51721069,103307489
FSL,No ,Yes,Fine sandy loam,51721150,103307729
SL,No ,No ,Sandy loam,51721150,103307730
FSL,No ,Yes,Fine sandy loam,51721151,103307731
SL,No ,No ,Sandy loam,51721151,103307732
L,No ,No ,Loam,51721151,103307733
LFS,No ,No ,Loamy fine sand,51721151,103307734
LS,No ,No ,Loamy sand,51721151,103307735
SIL,No ,No ,Silt loam,51721151,103307736
SL,No ,No ,Sandy loam,51721152,103307737
FSL,No ,No ,Fine sandy loam,51721152,103307738
L,No ,No ,Loam,51721152,103307739
SCL,No ,Yes,Sandy clay loam,51721152,103307740
CL,No ,No ,Clay loam,51721152,103307741
S,No ,No ,Sand,51721153,103307742
FS,No ,No ,Fine sand,51721153,103307743
LS,No ,Yes,Loamy sand,51721153,103307744
LFS,No ,No ,Loamy fine sand,51721153,103307745
S,No ,Yes,Sand,51721154,103307746
S,No ,Yes,Sand,51721155,103307747
S,No ,No ,Sand,51721156,103307748
FS,No ,Yes,Fine sand,51721156,103307749
LS,No ,No ,Loamy sand,51721156,103307750
S,No ,No ,Sand,51721157,103307751
FS,No ,Yes,Fine sand,51721157,103307752
S,No ,No ,Sand,51721158,103307753
FS,No ,Yes,Fine sand,51721158,103307754
S,No ,No ,Sand,51721159,103307755
FS,No ,Yes,Fine sand,51721159,103307756
MK-L,No ,Yes,Mucky loam,51720983,103307270
MK-FSL,No ,No ,Mucky fine sandy loam,51720983,103307271
SCL,No ,Yes,Sandy clay loam,51720984,103307272
SL,No ,No ,Sandy loam,51720984,103307273
CL,No ,No ,Clay loam,51720984,103307274
CL,No ,No ,Clay loam,51720985,103307275
SC,No ,No ,Sandy clay,51720985,103307276
SCL,No ,Yes,Sandy clay loam,51720985,103307277
CL,No ,No ,Clay loam,51721070,103307490
SC,No ,No ,Sandy clay,51721070,103307491
SCL,No ,Yes,Sandy clay loam,51721070,103307492
MK-L,No ,Yes,Mucky loam,51721071,103307493
MK-FSL,No ,No ,Mucky fine sandy loam,51721071,103307494
SCL,No ,Yes,Sandy clay loam,51721072,103307495
SL,No ,No ,Sandy loam,51721072,103307496
CL,No ,No ,Clay loam,51721072,103307497
COS,No ,No ,Coarse sand,51720890,103307053
S,No ,Yes,Sand,51720890,103307054
COS,No ,No ,Coarse sand,51720891,103307055
S,No ,Yes,Sand,51720891,103307056
GR-COS,No ,No ,Gravelly coarse sand,51720891,103307057
FSL,No ,Yes,Fine sandy loam,51721031,103307391
LS,No ,No ,Loamy sand,51721032,103307392
FSL,No ,Yes,Fine sandy loam,51721032,103307393
L,No ,No ,Loam,51721032,103307394
L,No ,No ,Loam,51721033,103307395
SCL,No ,Yes,Sandy clay loam,51721033,103307396
SC,No ,No ,Sandy clay,51721033,103307397
FSL,No ,No ,Fine sandy loam,51721033,103307398
SCL,No ,Yes,Sandy clay loam,51721034,103307399
CL,No ,No ,Clay loam,51721034,103307400
SL,No ,No ,Sandy loam,51721035,103307401
FSL,No ,No ,Fine sandy loam,51721035,103307402
SCL,No ,Yes,Sandy clay loam,51721035,103307403
SC,No ,No ,Sandy clay,51721035,103307404
L,No ,Yes,Loam,51721036,103307405
FSL,No ,No ,Fine sandy loam,51721036,103307406
SL,No ,No ,Sandy loam,51721036,103307407
SCL,No ,Yes,Sandy clay loam,51721037,103307408
SL,No ,No ,Sandy loam,51721037,103307409
CL,No ,No ,Clay loam,51721037,103307410
SCL,No ,Yes,Sandy clay loam,51721038,103307411
SC,No ,No ,Sandy clay,51721038,103307412
CL,No ,No ,Clay loam,51721038,103307413
SC,No ,No ,Sandy clay,51721039,103307414
FSL,No ,No ,Fine sandy loam,51721039,103307415
L,No ,No ,Loam,51721039,103307416
SCL,No ,Yes,Sandy clay loam,51721039,103307417
SC,No ,No ,Sandy clay,51721040,103307418
SL,No ,No ,Sandy loam,51721040,103307419
FSL,No ,No ,Fine sandy loam,51721040,103307420
SCL,No ,Yes,Sandy clay loam,51721040,103307421
FSL,No ,Yes,Fine sandy loam,51721041,103307422
LS,No ,No ,Loamy sand,51721042,103307423
FSL,No ,Yes,Fine sandy loam,51721042,103307424
L,No ,No ,Loam,51721042,103307425
SCL,No ,Yes,Sandy clay loam,51721043,103307426
CL,No ,No ,Clay loam,51721043,103307427
L,No ,No ,Loam,51721126,103307650
LS,No ,No ,Loamy sand,51721126,103307651
LFS,No ,No ,Loamy fine sand,51721126,103307652
SL,No ,Yes,Sandy loam,51721126,103307653
FSL,No ,No ,Fine sandy loam,51721126,103307654
SCL,No ,Yes,Sandy clay loam,51721127,103307655
SL,No ,No ,Sandy loam,51721127,103307656
CL,No ,No ,Clay loam,51721127,103307657
C,No ,Yes,Clay,51721128,103307658
SC,No ,No ,Sandy clay,51721128,103307659
SCL,No ,No ,Sandy clay loam,51721128,103307660
FSL,No ,Yes,Fine sandy loam,51721129,103307661
SL,No ,No ,Sandy loam,51721129,103307662
L,No ,No ,Loam,51721129,103307663
FS,No ,No ,Fine sand,51721160,103307757
S,No ,No ,Sand,51721160,103307758
LS,No ,Yes,Loamy sand,51721160,103307759
FS,No ,No ,Fine sand,51721161,103307760
LS,No ,No ,Loamy sand,51721161,103307761
LFS,No ,Yes,Loamy fine sand,51721161,103307762
LS,No ,No ,Loamy sand,51721162,103307763
LFS,No ,Yes,Loamy fine sand,51721162,103307764
FS,No ,No ,Fine sand,51721162,103307765
SL,No ,Yes,Sandy loam,51721163,103307766
FSL,No ,No ,Fine sandy loam,51721163,103307767
LS,No ,No ,Loamy sand,51721164,103307768
